Name,Motherboard,Memory,Processor,Number,Date
Sanjay Malhotra,ASUS TUF B450-PLUS Gaming,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i5-11400F,5,2023-07-21
Meera Patel,ASUS Prime X570-Pro,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,5,2023-07-19
Vikram Iyer,ASRock X570 Taichi,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,4,2023-07-19
Meera Kumar,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i5-11600K,3,2023-07-19
Sanjay Subramanian,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-19
Radha Sharma,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),Intel Core i7-10700K,4,2023-07-17
Radha Choudhury,MSI B450 TOMAHAWK MAX,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5950X,5,2023-07-19
Radha Kumar,GIGABYTE Z490 AORUS Elite AC,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i9-11900K,8,2023-07-19
Karthik Singh,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 7 5800X,4,2023-07-18
Anjali Subramanian,GIGABYTE X570 AORUS Ultra,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,4,2023-07-21
Vikram Krishnan,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,7,2023-07-15
Radha Ramanathan,ASUS TUF B450-PLUS Gaming,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 5800X,3,2023-07-15
Amit Subramanian,ASRock B550 Steel Legend,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5950X,1,2023-07-20
Sonia Singh,GIGABYTE X570 AORUS Ultra,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-16
Karthik Malhotra,MSI MAG B460M Mortar,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11600K,5,2023-07-19
Arjun Balakrishnan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i7-11700K,5,2023-07-20
Sanjay Singh,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i5-11400F,1,2023-07-18
Anjali Gupta,MSI MAG B460M Mortar,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,1,2023-07-15
Amit Patel,GIGABYTE X570 AORUS Ultra,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-10900K,8,2023-07-16
Ganesh Malhotra,ASUS TUF B450-PLUS Gaming,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,5,2023-07-20
Sanjay Mukherjee,GIGABYTE B550 AORUS Elite,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-11700K,6,2023-07-21
Ravi Iyer,ASRock B550 Steel Legend,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,8,2023-07-21
Suresh Verma,ASRock Z590 Extreme WiFi 6E,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 5600X,2,2023-07-19
Lakshmi Singh,GIGABYTE X570 AORUS Ultra,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11400F,1,2023-07-19
Meera Malhotra,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-11700K,4,2023-07-16
Sanjay Gupta,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,7,2023-07-20
Nithya Mukherjee,GIGABYTE B550 AORUS Elite,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,7,2023-07-20
Nithya Ramanathan,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-10700K,7,2023-07-15
Lakshmi Singh,MSI MAG B460M Mortar,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-20
Arjun Mani,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,5,2023-07-16
Ravi Singh,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-11900K,8,2023-07-17
Suresh Patel,GIGABYTE Z490 AORUS Elite AC,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-18
Sonia Venkataraman,ASRock Z590 Extreme WiFi 6E,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5900X,7,2023-07-17
Meera Mani,ASUS TUF B450-PLUS Gaming,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,7,2023-07-20
Arjun Verma,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 3700X,2,2023-07-21
Karthik Venkataraman,ASRock B550 Steel Legend,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-11700K,6,2023-07-19
Anjali Venkataraman,MSI MAG B460M Mortar,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-18
Vikram Kumar,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,4,2023-07-19
Sonia Gupta,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,2,2023-07-18
Arjun Gupta,ASRock Z590 Extreme WiFi 6E,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-10700K,4,2023-07-18
Meera Verma,MSI MAG B460M Mortar,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 7 5800X,3,2023-07-21
Amit Gupta,GIGABYTE X570 AORUS Ultra,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,3,2023-07-19
Arjun Verma,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,1,2023-07-15
Nithya Venkataraman,GIGABYTE X570 AORUS Ultra,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i5-11600K,8,2023-07-15
Swathi Gupta,ASUS TUF B450-PLUS Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11600K,4,2023-07-16
Lakshmi Mani,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i7-10700K,7,2023-07-20
Vikram Narayanan,MSI MPG Z590 Gaming Carbon WiFi,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,2,2023-07-19
Arjun Verma,ASRock X570 Taichi,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,6,2023-07-20
Radha Rajaram,ASUS ROG Strix B550-F Gaming,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i5-11600K,5,2023-07-15
Vikram Narayanan,ASRock B550 Steel Legend,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 7 5800X,8,2023-07-15
Divya Gupta,ASRock X570 Taichi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i7-10700K,6,2023-07-17
Swathi Mohan,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-18
Swathi Malhotra,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-15
Suresh Patel,GIGABYTE Z490 AORUS Elite AC,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-19
Amit Verma,ASRock X570 Taichi,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i7-10700K,6,2023-07-17
Nithya Venkataraman,ASUS ROG Strix B550-F Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-18
Karthik Choudhury,MSI B450 TOMAHAWK MAX,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,3,2023-07-21
Divya Krishnan,ASRock B550 Steel Legend,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 3600X,6,2023-07-18
Vikram Narayanan,ASUS ROG Strix B550-F Gaming,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 7 3700X,7,2023-07-21
Ganesh Patel,ASUS ROG Strix B550-F Gaming,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-21
Priya Subramanian,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),Intel Core i7-11700K,3,2023-07-21
Anjali Patel,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 5600X,2,2023-07-21
Sanjay Chopra,GIGABYTE B550 AORUS Elite,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i9-10900K,7,2023-07-18
Ganesh Gupta,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 5 3600X,3,2023-07-15
Amit Krishnan,ASUS ROG Strix B550-F Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-21
Anjali Subramanian,MSI MAG B460M Mortar,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 9 5950X,2,2023-07-20
Sonia Sharma,MSI B450 TOMAHAWK MAX,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5900X,8,2023-07-21
Vikram Singh,ASRock Z590 Extreme WiFi 6E,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 5 5600X,6,2023-07-19
Meera Gupta,ASUS TUF B450-PLUS Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i5-11400F,1,2023-07-15
Deepika Ramanathan,ASRock Z590 Extreme WiFi 6E,G.Skill Ripjaws V 16GB (2 x 8GB),AMD Ryzen 9 5900X,4,2023-07-16
Sanjay Balakrishnan,GIGABYTE B550 AORUS Elite,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 5 5600X,5,2023-07-18
Ravi Malhotra,ASRock X570 Taichi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i7-10700K,1,2023-07-19
Sanjay Singh,MSI MPG Z590 Gaming Carbon WiFi,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11600K,5,2023-07-18
Prakash Chopra,ASRock B550 Steel Legend,Corsair Vengeance RGB Pro 32GB (2 x 16GB),AMD Ryzen 7 3700X,3,2023-07-21
Radha Venkataraman,ASUS Prime X570-Pro,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 9 5950X,6,2023-07-17
Ravi Kumar,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 5 5600X,5,2023-07-15
Suresh Subramanian,ASUS ROG Strix B550-F Gaming,Corsair Dominator Platinum RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,5,2023-07-17
Priya Mukherjee,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i9-11900K,8,2023-07-15
Meera Chopra,MSI MPG Z590 Gaming Carbon WiFi,ADATA XPG Spectrix D60G 16GB (2 x 8GB),AMD Ryzen 9 5900X,1,2023-07-18
Priya Balakrishnan,GIGABYTE X570 AORUS Ultra,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 9 5900X,2,2023-07-21
Amit Kumar,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,8,2023-07-15
Swathi Mohan,GIGABYTE Z490 AORUS Elite AC,G.Skill Ripjaws V 16GB (2 x 8GB),Intel Core i7-11700K,2,2023-07-19
Nithya Verma,MSI MPG Z590 Gaming Carbon WiFi,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,7,2023-07-15
Amit Malhotra,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i7-11700K,2,2023-07-21
Vikram Singh,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 3700X,2,2023-07-18
Lakshmi Verma,ASUS TUF B450-PLUS Gaming,Team T-Force Delta RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,8,2023-07-17
Ganesh Rajaram,MSI MAG B460M Mortar,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 7 3700X,6,2023-07-18
Vikram Mukherjee,MSI MAG B460M Mortar,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 7 5800X,6,2023-07-17
Arjun Subramanian,ASUS TUF B450-PLUS Gaming,HyperX Predator RGB 16GB (2 x 8GB),AMD Ryzen 5 3600X,1,2023-07-15
Ganesh Chopra,ASRock B550 Steel Legend,ADATA XPG Spectrix D60G 16GB (2 x 8GB),Intel Core i5-11600K,8,2023-07-20
Amit Subramanian,ASRock X570 Taichi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 5 5600X,4,2023-07-21
Vikram Mohan,ASRock X570 Taichi,ADATA XPG Gammix D10 32GB (2 x 16GB),Intel Core i7-10700K,8,2023-07-19
Sonia Iyer,MSI MAG B460M Mortar,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i5-11600K,6,2023-07-16
Sonia Subramanian,ASUS Prime X570-Pro,Team T-Force Delta RGB 32GB (2 x 16GB),Intel Core i7-11700K,3,2023-07-15
Nithya Verma,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 9 5900X,3,2023-07-20
Arjun Singh,MSI B450 TOMAHAWK MAX,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 9 5900X,3,2023-07-16
Rahul Sharma,GIGABYTE Z490 AORUS Elite AC,Crucial Ballistix 16GB (2 x 8GB),AMD Ryzen 9 5900X,2,2023-07-19
Lakshmi Singh,MSI MAG B460M Mortar,Corsair Vengeance LPX 16GB (2 x 8GB),AMD Ryzen 5 5600X,4,2023-07-16
Sonia Mukherjee,ASRock Z590 Extreme WiFi 6E,Corsair Dominator Platinum RGB 32GB (2 x 16GB),Intel Core i9-10900K,6,2023-07-15
Vikram Singh,GIGABYTE X570 AORUS Ultra,ADATA XPG Gammix D10 32GB (2 x 16GB),AMD Ryzen 5 3600X,4,2023-07-18
Vikram Gupta,ASUS TUF B450-PLUS Gaming,Corsair Vengeance LPX 16GB (2 x 8GB),Intel Core i5-11400F,4,2023-07-18
Arjun Iyer,MSI B450 TOMAHAWK MAX,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11400F,3,2023-07-18
Amit Ramanathan,MSI MPG Z590 Gaming Carbon WiFi,Crucial Ballistix 16GB (2 x 8GB),Intel Core i5-11400F,3,2023-07-20
Meera Choudhury,ASUS Prime X570-Pro,G.Skill Trident Z RGB 32GB (2 x 16GB),AMD Ryzen 7 3700X,7,2023-07-16
Nithya Patel,MSI B450 TOMAHAWK MAX,Crucial Ballistix RGB 16GB (2 x 8GB),Intel Core i9-11900K,3,2023-07-19
Lakshmi Mani,GIGABYTE Z490 AORUS Elite AC,Kingston HyperX Fury 32GB (2 x 16GB),AMD Ryzen 7 5800X,5,2023-07-18
Swathi Venkataraman,MSI MPG Z590 Gaming Carbon WiFi,G.Skill Trident Z RGB 32GB (2 x 16GB),Intel Core i5-11400F,6,2023-07-17
